,ID,source.x,target.x,ligand.x,receptor.x,prob.x,pval.x,interaction_name.x,interaction_name_2.x,pathway_name.x,annotation.x,evidence.x,source.y,target.y,ligand.y,receptor.y,prob.y,pval.y,interaction_name.y,interaction_name_2.y,pathway_name.y,annotation.y,evidence.y,abslogPdif,INTastX,INTastY,INT,ID (source_target_ligand_receptor)
3232,L6CTb_AST_CDH4_CDH4,L6CTb,AST,Cdh4,Cdh4,0.008878886666115,0.03,CDH4_CDH4,Cdh4  - Cdh4,CDH,Cell-Cell Contact,KEGG: mmu04514,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,2.05164148749569,L6CTb_AST,NA_NA,L6CTb_AST_NA_NA,NA
179,AST_L6CTb_CDH4_CDH4,AST,L6CTb,Cdh4,Cdh4,0.008878886666115,0.03,CDH4_CDH4,Cdh4  - Cdh4,CDH,Cell-Cell Contact,KEGG: mmu04514,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,2.05164148749569,AST_L6CTb,NA_NA,AST_L6CTb_NA_NA,NA
725,L2/3/4_AST_CDH4_CDH4,L2/3/4,AST,Cdh4,Cdh4,0.0097492834645784,0.0,CDH4_CDH4,Cdh4  - Cdh4,CDH,Cell-Cell Contact,KEGG: mmu04514,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,2.01102730212863,L2/3/4_AST,NA_NA,L2/3/4_AST_NA_NA,NA
36,AST_L2/3/4_CDH4_CDH4,AST,L2/3/4,Cdh4,Cdh4,0.0097492834645784,0.0,CDH4_CDH4,Cdh4  - Cdh4,CDH,Cell-Cell Contact,KEGG: mmu04514,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,2.01102730212863,AST_L2/3/4,NA_NA,AST_L2/3/4_NA_NA,NA
1022,L4_AST_CDH4_CDH4,L4,AST,Cdh4,Cdh4,0.009848010582782,0.0,CDH4_CDH4,Cdh4  - Cdh4,CDH,Cell-Cell Contact,KEGG: mmu04514,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,2.00665149337879,L4_AST,NA_NA,L4_AST_NA_NA,NA
57,AST_L4_CDH4_CDH4,AST,L4,Cdh4,Cdh4,0.009848010582782,0.0,CDH4_CDH4,Cdh4  - Cdh4,CDH,Cell-Cell Contact,KEGG: mmu04514,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,2.00665149337879,AST_L4,NA_NA,AST_L4_NA_NA,NA
3590,L6IT_AST_CDH4_CDH4,L6IT,AST,Cdh4,Cdh4,0.0107415379350604,0.0,CDH4_CDH4,Cdh4  - Cdh4,CDH,Cell-Cell Contact,KEGG: mmu04514,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1.96893353345089,L6IT_AST,NA_NA,L6IT_AST_NA_NA,NA
200,AST_L6IT_CDH4_CDH4,AST,L6IT,Cdh4,Cdh4,0.0107415379350604,0.0,CDH4_CDH4,Cdh4  - Cdh4,CDH,Cell-Cell Contact,KEGG: mmu04514,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1.96893353345089,AST_L6IT,NA_NA,AST_L6IT_NA_NA,NA
13,AST_INH_CDH4_CDH4,AST,INH,Cdh4,Cdh4,0.0146467895104353,0.0,CDH4_CDH4,Cdh4  - Cdh4,CDH,Cell-Cell Contact,KEGG: mmu04514,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1.83425755965813,AST_INH,NA_NA,AST_INH_NA_NA,NA
259,INH_AST_CDH4_CDH4,INH,AST,Cdh4,Cdh4,0.0146467895104353,0.0,CDH4_CDH4,Cdh4  - Cdh4,CDH,Cell-Cell Contact,KEGG: mmu04514,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1.83425755965813,INH_AST,NA_NA,INH_AST_NA_NA,NA
